city,kms,fuel,transmission,year,price,location,owners
mumbai,21.21k km,Diesel,Manual,MH-46,₹8.16 lakh,Seawood,
mumbai,71.84k km,Diesel,Manual,MH-05,₹6.35 lakh,"Korum Mall, Thane West",
mumbai,91.63k km,Diesel,Auto,MH-04,₹5.80 lakh,"Goregaon, Mumbai",
mumbai,11.34k km,Petrol,Manual,MH-17,₹9.16 lakh,Thakur Village Kandivali E Mumbai,
mumbai,16.25k km,Diesel,Manual,MH-46,₹2.99 lakh,Panvel Navi Mumbai,
mumbai,1.6L km,Diesel,Manual,MH-04,₹4.63 lakh,Thane West Thane Maharashtra,
mumbai,2.5L km,Diesel,Manual,MH-23,₹4.00 lakh,Mondha Chhatrapati Sambhaji Nagar Maharashtra,
mumbai,59.91k km,Petrol,Manual,MH-05,₹2.58 lakh,Dombivli East Dombivli,
mumbai,1.1L km,Diesel,Manual,MH-01,₹5.41 lakh,Wadala Mumbai Maharashtra,
mumbai,68.99k km,Diesel,Manual,MH-01,₹1.83 lakh,Dahisar East Mumbai,
mumbai,87.91k km,Diesel,Manual,MH-46,₹2.75 lakh,Shivaji Nagar Mumbai Maharashtra,
mumbai,1.3L km,Diesel,Manual,DL-10,₹4.96 lakh,Powai Mumbai Maharashtra,
mumbai,15.87k km,Diesel,Auto,MH-03,₹15.13 lakh,Ghatkopar West Mumbai Maharashtra,
mumbai,1.3L km,Diesel,Manual,MH-02,₹2.50 lakh,Borivali East Mumbai Maharashtra,
mumbai,44.00k km,Diesel,Manual,MH-01,₹2.76 lakh,Kandivali East Mumbai,
mumbai,1.6L km,Diesel,Manual,MH-43,₹1.65 lakh,Sanpada Navi Mumbai,
mumbai,1.3L km,Diesel,Manual,MH-08,₹5.97 lakh,Nerul Navi Mumbai,
mumbai,90.56k km,Diesel,Manual,MH-48,₹5.34 lakh,Ulwe Navi Mumbai Maharashtra,
mumbai,1.1L km,Diesel,Manual,MH-47,₹4.85 lakh,Borivali East Mumbai Maharashtra,
mumbai,1.9L km,Diesel,Manual,MH-02,₹1.93 lakh,Uran Navi Mumbai Maharashtra,
mumbai,1.6L km,Diesel,Manual,MH-03,₹1.42 lakh,Kurla West Mumbai,
mumbai,96.65k km,Diesel,Manual,WB-26,₹3.19 lakh,Jayanagar Bengaluru,
mumbai,1.2L km,Diesel,Manual,MH-43,₹2.89 lakh,Sion Mumbai,
mumbai,1.4L km,Diesel,Manual,MH-02,₹1.26 lakh,कांदिवली पश्चिम मुंबई,
mumbai,93.93k km,Diesel,Manual,DL-10,₹3.22 lakh,Kharghar Navi Mumbai Maharashtra,
mumbai,55.60k km,Diesel,Manual,MH-48,₹2.98 lakh,Chembur Mumbai,
mumbai,60.68k km,Diesel,Auto,MH-01,₹14.90 lakh,Kanjurmarg East Mumbai,
mumbai,2.0L km,Diesel,Manual,MH-14,₹2.50 lakh,Chembur Mumbai,
mumbai,1.1L km,Diesel,Manual,MH-46,₹2.69 lakh,Panvel Navi Mumbai Maharashtra,
mumbai,67.10k km,Petrol,Manual,MH-48,₹3.20 lakh,Queens Park Mira Road Maharashtra,
mumbai,1.3L km,Diesel,Manual,MH-04,₹2.58 lakh,Thane West Thane Maharashtra,
mumbai,78.48k km,Diesel,Manual,MH-02,₹3.66 lakh,Mira Road East Mira Bhayandar Maharashtra,
mumbai,50.50k km,Petrol,Manual,MH-06,₹2.70 lakh,Santosh Nagar Kalyan Maharashtra,
mumbai,1.6L km,Diesel,Manual,UK-14,₹3.50 lakh,Ganga Nagar Rishikesh,
mumbai,4.0L km,Diesel,Manual,MH-04,₹4.30 lakh,Thane West Thane,
mumbai,1.3L km,Diesel,Manual,HR-51,₹3.38 lakh,Sector 39 Gurugram,
mumbai,99.25k km,Diesel,Manual,PB-10,₹5.35 lakh,Thane West Thane Maharashtra,
mumbai,55.02k km,Petrol,Manual,MH-26,₹6.95 lakh,Mira Road East Mira Bhayandar Maharashtra,
mumbai,44.78k km,Diesel,Manual,MH-02,₹5.00 lakh,Santacruz East Mumbai Maharashtra,
mumbai,1.0L km,Diesel,Manual,MH-46,₹3.58 lakh,Sector 45 Gurugram,
mumbai,1.1L km,Diesel,Auto,MH-03,₹11.29 lakh,Chembur Mumbai Maharashtra,
mumbai,4.91k km,Petrol,Auto,MH-04,₹16.14 lakh,Mira Road East Mira Bhayandar Maharashtra,
mumbai,10.00k km,Diesel,Manual,MH-02,₹16.95 lakh,Mumbai Mumbai Suburban Maharashtra,
mumbai,15.73k km,Petrol,Auto,MH-47,₹11.23 lakh,behind father agnel school Ambernath Maharashtra,
mumbai,63.37k km,Diesel,Manual,MH-43,₹7.00 lakh,Vashi Navi Mumbai Maharashtra,
mumbai,25.76k km,Diesel,Auto,MH-47,₹15.33 lakh,Goregaon West Mumbai,
mumbai,52.81k km,Diesel,Manual,MH-01,₹3.96 lakh,Byculla Mumbai,
mumbai,95.57k km,Diesel,Manual,MH-46,₹3.37 lakh,Kandivali(W Mumbai Maharashtra,
mumbai,4.17k km,Petrol,Auto,MH-46,₹15.75 lakh,Kharghar Navi Mumbai Maharashtra,
mumbai,56.53k km,Diesel,Auto,MH-03,₹10.50 lakh,Thane West Thane Maharashtra,
mumbai,36.24k km,Petrol,Auto,MH-43,₹7.56 lakh,Kopar Khairane Navi Mumbai Maharashtra,
mumbai,84.40k km,Diesel,Auto,MH-04,₹7.80 lakh,Thane West Thane Maharashtra,
mumbai,11.72k km,Diesel,Manual,MH-06,₹4.57 lakh,Shribag No.2 Alibag,
mumbai,86.24k km,Diesel,Manual,MH-02,₹3.50 lakh,Mazgaon Mumbai Maharashtra,
mumbai,1.1L km,Diesel,Manual,MH-02,₹4.24 lakh,Goregaon Mumbai Maharashtra,
mumbai,1.5L km,Diesel,Auto,MH-47,₹8.00 lakh,Borivali East Mumbai Maharashtra,
mumbai,30.95k km,Diesel,Manual,MH-46,₹11.75 lakh,Panvel Navi Mumbai Maharashtra,
mumbai,56.70k km,Diesel,Manual,MH-46,₹6.41 lakh,Kharghar Navi Mumbai,
mumbai,38.42k km,Petrol,Auto,MH-43,₹8.00 lakh,Airoli Navi Mumbai,
mumbai,23.40k km,Petrol,Manual,MH-03,₹8.83 lakh,Chembur Mumbai Maharashtra,
mumbai,14.65k km,Petrol,Manual,MH-46,₹7.30 lakh,Thakur Village Kandivali E Mumbai,
mumbai,76.70k km,Diesel,Manual,MH-01,₹6.02 lakh,Khadakpada Kalyan,
mumbai,84.86k km,Diesel,Manual,MH-03,₹3.15 lakh,Dombivli East Mumbai Maharashtra,
mumbai,1.0L km,Diesel,Manual,MH-14,₹3.50 lakh,Thane West Thane Maharashtra,
mumbai,1.1L km,Diesel,Manual,MH-13,₹3.46 lakh,Gandhi Nagar Bengaluru Karnataka,
pune,18.71k km,Diesel,Manual,MH-14,₹13.00 lakh,"CARS24 ELITE Hub, Magarpatta, Mundhwa",
pune,22.36k km,Diesel,Manual,MH-12,₹13.00 lakh,"CARS24 ELITE Hub, Magarpatta, Mundhwa",
pune,84.79k km,Diesel,Auto,MH-12,₹20.75 lakh,"Tathawade, Pune",
pune,78.68k km,Diesel,Manual,MH-14,₹8.50 lakh,"Tathawade, Pune",
pune,77.16k km,Diesel,Manual,MH-12,₹12.30 lakh,"Tathawade, Pune",
pune,12.07k km,Diesel,Auto,MH-14,₹10.90 lakh,"Tathawade, Pune",
pune,86.34k km,Diesel,Manual,MH-14,₹9.00 lakh,"Amanora Mall apex building, Pune",
pune,35.23k km,Petrol,Manual,MH-12,₹3.26 lakh,"Amanora Mall apex building, Pune",
pune,1.1L km,Diesel,Manual,MH-12,₹4.55 lakh,"Tathawade, Pune",
pune,40.43k km,Diesel,Manual,MH-14,₹10.01 lakh,"Tathawade, Pune",
pune,13.45k km,Petrol,Manual,MH-14,₹4.46 lakh,"Tathawade, Pune",
pune,85.16k km,Diesel,Manual,MH-14,₹11.60 lakh,"Tathawade, Pune",
pune,13.34k km,Diesel,Manual,MH-12,₹9.80 lakh,"Amanora Mall apex building, Pune",
pune,29.04k km,Diesel,Manual,MH-14,₹8.75 lakh,"Amanora Mall apex building, Pune",
